,ticker,date,short_entry,cover_price,pnl,stop_loss_hit,shares,portfolio_value_after_trade,return_pct,slippage_commission,day_of_week
0,GERN,2023-01-04T00:00:00.000,3.73,3.215,762.1447721179629,false,1608.5790884718504,75762.14477211796,1.0059704281213115,60.97158176943704,Wednesday
1,VYNT,2023-01-05T00:00:00.000,1.275,1.18,411.29411764705856,false,4705.882352941175,76173.43888976502,0.5399442688182504,32.90352941176469,Thursday
2,RKLY,2023-01-05T00:00:00.000,0.1841,0.1841,0,false,32590.98316132536,76173.43888976502,0,0,Thursday
3,HKD,2023-01-05T00:00:00.000,19.2,19.2,-1620,true,312.49999999999994,74553.43888976502,-2.1729379947118708,129.6,Thursday
4,SPRB,2023-01-06T00:00:00.000,2.69,2.3697,657.2698884758366,false,2230.483271375465,75210.70877824086,0.873904659526345,52.581591078066936,Friday
5,MGAM,2023-01-06T00:00:00.000,1.46,1.19,1020.8219178082195,false,4109.589041095891,76231.53069604909,1.339107202082099,81.66575342465757,Friday
6,CTMX,2023-01-06T00:00:00.000,2.7899,2.4014,768.6727122835938,false,2150.614717373383,77000.20340833267,0.998273612612835,61.493816982687505,Friday
7,LHDX,2023-01-09T00:00:00.000,0.4338,0.3718,788.9349930843707,false,13831.258644536654,77789.13840141705,1.014196852281885,63.11479944674966,Monday
8,AMYT,2023-01-09T00:00:00.000,14.5,14.5639,-28.556689655172548,false,413.7931034482759,77760.58171176187,-0.03672386320491367,2.2845351724138037,Monday
9,ZOM,2023-01-09T00:00:00.000,0.246,0.2496,-94.82926829268273,false,24390.243902439026,77665.75244346919,-0.12209920757763391,7.586341463414619,Monday
10,CNTX,2023-01-09T00:00:00.000,0.9675,0.762,1172.4651162790697,false,6201.550387596898,78838.21755974826,1.4871786204330486,93.79720930232557,Monday
11,APGN,2023-01-09T00:00:00.000,1.93,2.0701,-470.3875647668396,false,3108.8082901554394,78367.82999498141,-0.6002304323048918,37.63100518134717,Monday
12,BWEN,2023-01-11T00:00:00.000,3.7,3.7,-1620,true,1621.621621621622,76747.82999498141,-2.1108088660043323,129.6,Wednesday
13,PRTY,2023-01-11T00:00:00.000,0.521,0.4413,844.42226487524,false,11516.314779270635,77592.25225985664,1.088281677978966,67.5537811900192,Wednesday
14,BBAI,2023-01-12T00:00:00.000,2.87,3.12,-564.4599303135886,false,2090.592334494773,77027.79232954305,-0.7328003480856572,45.15679442508709,Thursday
15,XRTX,2023-01-19T00:00:00.000,10.26,8.91,726.3157894736842,false,584.795321637427,77754.10811901673,0.9341188614264939,58.10526315789473,Thursday
